# problem_id;phase_id_dep;problem_description;choice_a;outcome_a;voice_a;choice_b;outcome_b;voice_b;character_img_id;background_img_id

#==TECHNICAL_PROBLEM
# A=speed-,visibility+  B=speed+, visibility-
RECORDING_ISSUE;REGISTER_VOICE;Tu découvres que ton micro a buggé, et ton enregistrement sur $GAME est inaudible.;Recommencer l'enregistrement;Ton texte sur $GAME est bien rodé maintenant, mais tu y passes l'aprèm.;PFFFF;Utiliser un vieux backup;La qualité est bof, mais tu gagnes du temps.;JE-MEN-FOUT;PLOUF_HESITE;BACK_BUREAU
CHAT_CURSE;PLAY_CHRONIQUE_GAME;Ton chat a voté pour "Minecraft" via des dons comme prochain jeux.;Y aller en solo, voyons voir ce monde aussi caré que toi;Tu creuses sous toi même et tombe dans la lave. C'est nul en fait Minecraft.;;Y aller avec Mme Plouf et Pseudoless (il a été dur à motiver);Madame fait les murs en laine de toutes les couleurs, Pseudoless est déjà parti tuer le dragon au bout d'une heure. Vous vous amusez bien.;;PLOUF_DARK;BACK_CANAPE
KID_CHOICE;CHOOSE_CHRONIQUE_GAME;Ta fille insiste pour que tu testes "Paw Patrol".;Faire une mini-chronique;C'est atroce à jouer, mais tu crées un chef-d'œuvre ironique. Etre un jeu pour enfant ne pardonne pas tout.;C-UN-PEU-NUL;Refuser avec un dessin;Elle boude, mais tu gardes ta dignité (et santé mentale).;;PLOUF_FILLE;BACK_PLAGE
RETRO_VOTE;PLAY_CHRONIQUE_GAME;Tu avais nommé RE6 comme pire jeu du monde. Ta communauté a voté pour "Bubsy 3D". Tu vas devoir y jouer pour départager.;Assumer jusqu'au bout;Tes yeux vont mettre des semaines à s'y remettre, mais RE6 est définitivement pire, car lui souille une license légendaire.;;Regarder un let's play d'un oeil.;Tu auras toujours un doute si RE6 était vraiment le plus mauvais jeu...;;PLOUF_JEU_MORT;BACK_BIBLIO



#==ANSWER_TO_TIPEEE_AND_PATREON
# A=visibility+,rythm-   B=rythm+,visibility- 
PATREON_CRISIS;ANSWER_CHRONIQUE_COMMENTS;Un contributeur a mis un commentaire patreon particulièrement négatif et long sur un post, mais au bout de 15min de lecture (oui aussi long que ça) tu comprends que c'était pour Fin du Game et pas Plouf et Pseudo.;Aller écouter le dernier épisode de FDG\n et lui faire une réponse sur le fond;Il s'excuse et promets de ne plus recommencer, mais tu annules ton montage pour aujourd'hui.;;Supprimer purement le commentaire.;Certains membres ne comprennent pas et se plaignent dans d'autres commentaires, c'est sans fin.;JE-VAIS-PAS-MEN-SORTIR;FANBOY;BACK_MAISON
WALLPAPER_RAGE;;Un abonné Tipeee ne comprends pas qu'il y ait un carré sur les fond d'écrans de $GAME.;Quel carré? mais lui offrir un dessin perso;Il devient ton fan ultime, les autres sont jaloux (dont l'auteur de ce jeu soit dit au passant).;;Quel carré?;Tu lui renvois les mêmes wallpapers, tu ne vois pas de quel carré il parle.;;FANBOY;BACK_MAISON
PATREON_LEAK;;Un abonné a partagé votre podcast bonus réservé aux patreons payants.;Lui rédiger un long message privé;Il comprends son erreur, et ne recommencera pas.;;Notifier Youtube directement;Tu gagnes du temps, mais il le prends très mal et spam toutes tes vidéos.;;PLOUF_COLERE;BACK_BUREAU
VIP_REQUEST;;Une contributeuse Tipeee veut que tu la plouffise, mais elle t'as envoyé une photo ... sans vétements.;Tu lui notifies son erreur gentiement;Elle s'excuse de s'être trompée de photo, mais t'en envois une autre... encore sans vètements.;;Tu la montre à Mme Plouf;Elle te dit 5min après que le problème est réglé. Tu ne préfères pas savoir comment elle a fait, ou plutôt ce qu'elle a fait.;RIRE-MALEFIQUE;PLOUFMAN;BACK_PLOUFCAVE
FANFIC_GATE;;Un abonné a écrit une fanfic Yaoi de toi & Pseudoless.;En faire la lecture ironique;Viralité assurée, gêne maximale.;;Ignorer lourdement;Ton silence alimente les théories sur votre relation.;JE-SUIS-GRILLE;PSEUDO;BACK_PODCAST



#==TEST_VERY_BAD_GAMES
# A=creativity+    B=creativity- 
SKULL_BONES;CHOOSE_CHRONIQUE_GAME;Ubisoft t'envoie une clé "Skull & Bones" Ultra premium avec un gros chèque (virtuel) pour acheter sur leur boutique de micro transactions.;Se laisser tenter;Tu tentes de deviner où sont passés les 11 ans de développements. Tu ne trouves pas, mais cet excercie mental t'a bien mis en jambe pour la journée.;UBISOFT;Non mais non en fait;Un jeu de pirates? Et pourquoi pas un Yakusa pirate tant qu'on y est?;TUT-TUT-LES-RAGEUX;PLOUF_DARK;BACK_EDITEUR
MARVEL_AVENGER;CHOOSE_CHRONIQUE_GAME;Tu testes "Marvel'Avenger", et au bout de 15min tu sens que ça va être dur, très dur.;Y jouer sobre;Tu te demandes s'il va être plus pénible que Resident Evil 6. En tout cas il est bien parti pour. Mais ça te donne de nouvelles idées de gags.;;Le continuer après une soirée arosés\n avec des amis;Ceci améliore grandement le jeu, par contre tu n'arrives pas du tout à relire tes notes. Tu n'as pas le courage d'y jouer sobre, faut pas pousser.;;PLOUF_FATIGUE;BACK_CANAPE
RIDE_TO_HELL;CHOOSE_CHRONIQUE_GAME;Tu pensais avoir pris Days Gone, mais au bout de 2h de jeux tu as un doute, et c'est en fait Ride To Hell Retribution!;Continuer à "jouer";Mme Plouf te demande à quoi tu joues lors d'une scène... "érotique" et tu bafouilles en lui répondant. Par contre, tu as trouvé le prochain sujet du podcast de Noël.;;Tu arrêtes les frais de suite;Bon 2h de perdu et tu dois réussir à revendre ce jeu maintenant sur Le bon coin.;;PLOUFMAN;BACK_PLOUFCAVE
CRY_FAR_CRY;WRITE_CHRONIQUE;Tu as ENFIN un Far Cry en Australie! Mais fini en 10h, rien ne vient pour ton texte. Ce jeu est vide, RIEN de changé avec Far Cry 6, et même pas de boumerang!;Te torturer 3 jours sur l'écriture de la\n chronique.;Cette chronique sera l'une des plus vues, avec une comparaison des thèmes philosophiques entre ce jeu et l'"Etranger" d'Albert Camus.;;Tu fais une chronique vide...\n comme le jeu;Ca ne sera pas ta meillere chronique, mais elle sortira bien jeudi;;PLOUF_PUBG;BACK_RUE_RUINE
METROID_FEDERATION;CHOOSE_CHRONIQUE_GAME;Tu testes le jeu Metroid Federation Forces, mais il est si nul!;Faire ton deuil, et parler de cet affront à la franchise;Tu traites hônnetement de ce jeu, mais tu ne regaderas plus jamais cette franchise de la même manière.;;Tu passes vite sur le sujet;Tu supprimes tes souvenirs de ce jeu.;;PLOUF_DARK;BACK_RUE_RUINE


#==PLAY_2_PLAYERS_GAME_TOO_LONG_HOURS
# A=familly+     B=familly-  
OVERCOOKED_RAGE;PLAY_CHRONIQUE_GAME;Tu joues à "Overcooked" avec Madame Plouf, mais ton organisation en cuisine dans le jeu ressemble à celle de la réalité (spoiler: c'est pas génial).;Switcher sur un autre jeu coopératif,\n genre It takes two.;Tu sauves ton égo d'organisateur cuisiniste, mais tu as déjà chroniqué It Takes Two.;;Vous continuez à jouer;Ton égo d'organisateur cuisiniste est au niveau des paquerettes, mais la chronique sera bonne;;MMEPLOUF;BACK_CUISINE
MARIO_PARTY;;Tu stream une partie de "Mario Party 12" de 4h avec Pseudoless, mais il est vachement plus doué que toi.;Arrêter après le premier tour où Pseudo\n avait déjà 3 étoiles et toi... 0;Vous arrétez le massacre, et vous swtichez sur un Mario Kart.;;Aller jusqu'au bout;Votre amitié et surtout ton ego en sortent ébranlés.;;PSEUDO;BACK_PODCAST
DIVORCE_DANCE;PLAY_CHRONIQUE_GAME;Marathon "Just Dance" avec Madame pour la chronique.;Viser le top 1 mondial;Tu finis aux urgences pour claquage, mais madame a de quoi racontrer à votre fille comme histoire drôle pour des années.;PLUTOT-UN-BON-DEAL;Faire 3 chansons et puis fini;Madame aurait bien aimé jouer un peu plus, et il va falloir broder pour faire une bonne chronique.;;MMEPLOUF;BACK_CANAPE
FIFA_TRAUMA;CHOOSE_CHRONIQUE_GAME;Si Fifa est l'un des jeux les plus vendu, c'est qu'il y a une raison non? Tu y joues avec Madame en jouant l'équipe Suisse.;Vous jouez plus de 50h;Vous avez rajoué toute la dernière coupe du monde. C'était très rigolo, mais tu te dis que 10h auraient largement suffit pour la chronique en fait;;Jouer juste une soirée;Madame avait sorti les drapeaux Suisse dans toute la maison, mais les range tristement.;;PLOUF_FATIGUE;BACK_CANAPE
ROCKET_ADDICT;CHOOSE_CHRONIQUE_GAME;Tu testes "Valheim" en duo pour une future chronique.;Jouer "juste une dernière";Tu perds 8h dans ce vortex, mais c'était ultra fun.;;Désinstaller après 1h;Tu démontais "par erreur" tout le temps le lit de ton ami.;;PLOUF_HESITE;BACK_BUREAU
PSEUDO_STRIKE;;Tu propose Bugsy 3D pour le podcast de décembre. Pseudoless menace de créer un syndicat et faire grève.;Ok pour l'émulateur;Tu lui dis que sur l'émulateur ça sera très bien, et surtout: il y a les sve states et le rewind;;Console d'origine sinon rien;Tu préfères que le jeu soit fait dans son jus, sur console d'origine. Point de save state donc...;;PLOUF_PUBG;BACK_PODCAST
PSEUDO_ROAD_CRAFT;;Pseudo te propose une partie coop sur Road Craft pour construire des routes!;Plonger dans le bitûme;Faire semblant de travailler pendant des heures? Vendu!;;Résister de toutes tes forces;Tu as déjà fait semblant de travailler toute la semaine, ça va faire un peu trop là;;PSEUDO;BACK_CANAPE


#==STEAMING
# A=visibility+    B=visibility-
WEBCAM_MAL;;Ta webcam décide de faire la mise au point sur… ton poster Mario Bros, floutant ton visage.;Assumer et dire que c’est un hommage\n artistique;Le chat explose de rire, tu gagnes même un abonné cosplayé en Goomba.;JAIME-BIEN-MON-TRAVAIL;Essayer de réparer pendant 30min;Tout le monde se barre sauf un gars qui voulait juste “entendre ta voix”.;;PLOUF_HESITE;BACK_PODCAST
CHAT_INCRUSTE;;Ton dragon saute sur ton clavier en plein stream sur $GAME et tape “mmmmmmmiouuuuuuuuufghh”.;Lui donner le micro;C’est le meilleur stream de ta chaîne, tu deviens “le streamer au dragon”.;TOUT-CELA-VA-MENER;Le virer sans ménagement;Tu perds 500 abonnés en 3 min. Tous pro-dragons.;;cochon;BACK_PODCAST
GAMING_FAIL;;Tu restes bloqué sur un saut qui te semble infaisable dans le tuto de Cup Head;Lancer un compteur “sauts ratés”;Tes viewers créent des fanarts de tes essais.;TUT-TUT-LES-RAGEUX;Faire semblant d’avoir un bug de\n manette;Ton acting est si mauvais que le chat te décerne un “Oscar du mensonge”.;;PLOUF_COLERE;BACK_CANAPE
QUIZ_CATA;;Tu réponds à un quiz “connaissez-vous bien la chaîne?” écrit par tes modos… et tu rates 3 réponses sur 5.;Assumer;Tu crées un nouveau mème sur ta mémoire défaillante.;UN-PEU-ENNUYEU;Couper le quiz en prétendant un bug Twitch;Ton audience se méfie de tous tes futurs quizs.;;PSEUDO;BACK_PODCAST
STREAM_ISAAC;;Trend sur le net: poster une run d'Isaac. Ça ne prendra pas beaucoup de temps une petite run non?;Un uterus de maman et c'est fini\n (drôle de phrase);Tu découvres une nouvelle synergie entre le haricot péteur et Sacred Heart.\nPersonne n'y avait pensé avant toi.;RIRE-MALEFIQUE;Arrière démon!;Tu annonces que JAMAIS tu ne retoucheras à Isaac. ... non JAMAIS j'ai dit!;RIRE-MALEFIQUE;PLOUF_COLERE;BACK_CANAPE
SUPERMAN_SLIP;;En dessinant une chronique sur Suicide Squad tu réalises que les loot sont si moches que tu les changes en slip de Superman;Publier tel quel;Warner voulait justement mettre en avant le côté humour du titre, ils adorent ta chronique et t'envois un sac remplis de goodies;;Lancer un concours "redesign";Les participants vont beaucoup trop loin et on arrive avec un Baman grimé en Harley, Warner n'aime pas qu'on maltraite ainsi son seul perso encore bankable. Pseudo a même préféré prendre des congés après ce choc visuel;;PLOUFMAN;BACK_PLOUFCAVE
ELEPHANT_POWER;;Le powerup éléphant dans Mario Wonder casse même les plateformes, tu n'arrives pas à finir les niveaux.;Créer un mod "no-elephant";Nintendo supprime ton mod en moins d'une heure (à croire qu'ils te surveillent), mais tu es un héro sur le net;;Speedrun 100% éléphant;Tu finis dernier du classement, derrière sa fille qui ne connaissait même pas ce jeu;;PLOUF_HESITE;BACK_CANAPE
MARIO_GAMECUBE;PLAY_CHRONIQUE_GAME;Lors de ton test sur Paper Mario Remaster tu remarques que les crédits mentionnent encore "Gamecube" au lieu de la Switch, tu préviens Nintendo qui le fixe en moins de 24h (leurs devs sont aussi efficaces que leurs avocats, c'est dire);Faire une vidéo "les fantomes du passé";Tu fais une vidéo sur l'âge d'or des jeux gamecube à tes yeux, Nintendo relais ta vidéo dans le monde entier;;Tu mod le jeu pour remettre "gamecube";Nintendo t'envois une mise en demeure dès le lendemain, et tu es ban du Nintendo Online;;EDITOR;BACK_EDITEUR
DEBOIRE_XBOX;;Ta vidéo sur les déboires de Xbox génère des réactions passionnées. Phil Spencer a liké un de tes tweets;Accepter son invitation Discord;Vous avez un échange cordial et a attiré un max de monde sur ton Discord;;Faire un live "Xbox RIP";Tu fais un live où tu enterres littéralement ta Xbox Series X dans ton jardin. La commu Xbox est furieuse et s'organise pour trouver ton addresse et sauver ta pauvre console de son sort;TUT-TUT-LES-RAGEUX;FANBOY;BACK_MAISON
GEOFF_LIE;;Pendant le Summer game fest, Geoff annonce un jeu avec des images "in game" trop belles pour être honnêtes (genre Geoff pourrait mentir?);Lancer un bingo "bullshit" en direct;Les fans adorent ta franchise, Geoff un peu moins mais bon, tu n'avais pas trop l'intention d'aller à sa sauterie de toute manière;;Faire semblant d'y croire;Pseudoless te traite de vendu pendant toute la semaine;;EDITOR;BACK_EDITEUR
STARFIELD_EXCLU;;Xbox annonce une exclu Starfield ... de 6 mois;Minute de silence satirique;Tu fais une minute de silence pour la mort de l'audace de Xbox, les viewers rigolent bien et font de même sur le chat;;Monter un trailer PS5 et le poster;Ton trailer fait le buzz, l'industrie n'aime pas qu'on se moque ouvertement d'elle. Désormais même Phil Spenser te déteste dans le milieu des éditeurs;;EDITOR;BACK_EDITEUR
MGS5;;Les fans réclament un MGS5 après un mois d'octobre Konami qui était déjà ultra chargé;Le faire en live;Tu montres un peu tes talents de sniper devant le chat en extase;;Vendre le podcast en "DLC";La chat est furieux et te critique, sortent des hastag DROP_THE_PRICE_MGS5 pour se plaindre du prix. Bon ils achettent tout de même, mais ils ne sont pas content hein.;MALIN;FANBOY;BACK_MAISON


#==JOB_OPTIMISATION
# A=rythm-    B=rythm+
PROCASTINATION;;Tu crées un plan pour ton mois productif… et passes 4h à choisir une police pour le titre sur $GAME;Publier le résultat comme modèle de\n “procrastination productive”;Ton tweet buzz et tu gagnes des abonnés… mais tu n’as toujours rien fait.;;Tout jeter et revenir au post-it;Ta to-do tient en 3 mots : “faire la chose”. Et ça marche.;MALIN;PLOUF_HESITE;BACK_BUREAU
TOOCOFFEE;;Tu bois un café oublié de la veille pour tenir une nuit de montage sur $GAME;Vomir et prendre un vrai jour off;Tu retrouves un rythme humain. Et ton estomac te remercie.;JE-VAIS-PAS-MEN-SORTIR;Assumer et faire un vlog “trip caféiné”;Tu montes 2 vidéos et repeins la cuisine à 4h du mat. En tremblant.;JE-VAIS-PAS-MEN-SORTIR;PLOUF_FATIGUE;BACK_CUISINE
OUPS_RDV;;Tu t’es booké une interview Discord avec un studio et une livraison de donuts, le même jour, même heure.;Annuler l’interview;Ton excuse est tellement nulle que tu deviens un mème chez les studios de dev.;;Faire les deux en même temps;Tu interroges un développeur indé en tenant une boîte de donut. Ça tombe bien, il développait un jeu de gestion de magasin, ça lui donne des idées!;PAS-ETE-VAIN;PLOUF;BACK_CUISINE
PC_OVERLOAD;;Tu lances un render, un upload, un montage et un script en même temps. Et ton PC est à l'agonie.;Tout fermer et ne garder qu’un truc;Ton PC survit, mais le rendu prenant des heures, tu perds ton aprem.;JE-PEUX-ME-PLAINDRE-TOUTE-LA-JOURNEE;Mettre une musique épique et appeler\n ça “mode super-sayan”;Ca sent le cramé dans toute la pièce au bout de 2h, tu te dis qu'il faudrait revoir le cooling de ton ordi un jour, ou l'utiliser pour cuire des cotelettes.;;PLOUF;BACK_BUREAU
FTL;;Tu te trompes d'icone sur le bureau, et lances FTL par erreur.;Tu fermes le jeu immédiatement;... bon après 5min, juste le temps d'écouter un peu cette musique. Haaaaaa quelle musique....;;Non mais juste une petite run orientée\n abordage, c'est rapide ça;Tu te demandes encore comment tes deux mantis ont pu perdre contre un seul Engi, tu dois donc relancer une autre run alors que tu étais arrivé au secteur 7.;;PLOUF_FTL;BACK_CANAPE


#==PEOPLE_LIKE_QUALITY
# A=speed+,popularity-  B=speed-,popularity+
LOST_CARDS;;La Poste a perdu 10 cartes postales pour les tipeee;Faire semblant d'avoir raté l'alerte;Les tipeeurs sont tristes de ne pas pouvoir envoyer de carte postales à leur famille avec Monsieur Plouf dessus;RIEN-A-BATTRE;Relancer de suite;Tu te débats dans les méandres de la Poste, mais ils arrivent à retrouver les colis, ça t'as juste pris plus de 4h au téléphone...;;PLOUF_COLERE;BACK_PLOUFCAVE
WHAT_REMAINS_OF_2024;;Tu penses faire une vidéo "Que reste-t-il de 2024?" avec une review de 12 jeux d'un coup;Reprendre les jeux déjà chroniqués;Pour gagner du temps tu repioches dans les jeux que tu as déjà chroniqués, mais le public s'attendais à de l'innatendu;;12 jeux originaux sinon rien;Tu pioches dans 12 jeux dont tu n'avais pas parlé jusque qu'ici. Mais tu dois reprendre des captures des jeux et c'est super long;;PLOUF_HESITE;BACK_CANAPE
UBI_FORWARDE_GAME;;Le stream Ubi Forward commence et avec Pseudoless vous faites un bingo game basés sur le nombre de "live service" prononcés;Parier une écriture de vidéo;Toutes les 10 prononciations vous faites une vidéo en plus. En une soirée, votre planning est plein pour l'année!;TOUT-CELA-VA-MENER;Parier à boire;Vous faites un jeu à boire. Le public est content de vous voir littéralement rouler sous vos bureaux au bout de 30min, mais vous n'avez plus 20ans, et le reste de la semaine est très, très rude;ON-EST-VIEUX;PLOUF_SALE;BACK_PODCAST
KONAMI_CASINO;;Konami revient avec un trailer de jeu de caniso en ligne Silent hill;Twitter "Comment tuer une franchise";Konami n'a pas apprécié la blague, et te blackliste désormais. Enfin encore plus qu'avant;;Créer un faux trailer MGS6;Tu passes du temps à créer un super trailer sur un MGS6, les fans adorent, et filent harceler Konami pour l'avoir.;;EDITOR;BACK_EDITEUR
OUTER_WILDS;;Tu te réveilles en pleine nuit la veille de la sortie de la vidéo: tu as donné le nom "Outer Worlds" à Valix pour la miniature au lieu de "Outer Wilds"!;Tu fais ton David Goodenough;Bon les deux sont dans l'espace, oublies que tu as aucune chance, sur un malentendu ça passe;JE-MEN-FOUT;Prévenir Valix à l'arrache;Valix ne panique pas mais ça va prendre du temps de la refaire, mais le résultat est magnifique;;PLOUF_HESITE;BACK_CHAMBRE
PRAISE_THE_EMPIRE;UPLOAD_CHRONIQUE_VIDEO;L'upload de ta chronique sur le très mauvais Star Wars Outlaws est remplacée par un fichié nommé "praise_the_empire.mp4";Accuser Ubisoft;Ta vidéo est un fiasco et la seule réponse d'Ubisoft est un GIF de Dark Vador se moquant de ton manque de "confiance" dans le côté obscur de l'industrie;;Réuploader en mode "rebelle";Tu as changés ton mot de passe Youtube, et ton histoire de rebelle contre l'empire des Bretons fais un carton sur internet;;PLOUF_JEU_MORT;BACK_EDITEUR


#==CREATIVITY_IDEA
# A=creativity+   B=creativity-
IMAGINARY_MONSTER;;Tu mentionnes dans ta chronique un monstre qui est en fait retiré du jeu à sa sortie dans Monster Hunter Wilds;Tu assumes;Tu décris en détail le comportement du monstre, tout le monde comprends que Capcom a prévu un DLC pour le sortir plus tard. Capcom: leur seule réponse est un GIF de Palico confu;RIRE-MALEFIQUE;Tu l'as peut-être inventé?;Tu te demandes si ta créativité n'est pas hors de contrôle, tu vas faire plus attention à rester terre à terre pendant un temps;JE-VAIS-PAS-MEN-SORTIR;PLOUF_FATIGUE;BACK_CANAPE


#==OBSESSION
# A=speed-,creativity+   B=speed+,creativity-
SABRE_COINCE;PLAY_CHRONIQUE_GAME;Jouer au samouraï est difficile: ton sabre reste coincé dans un mur dans Rise of the Ronin, même après rechargement;Tu publies un speedrun glitch%;Tu en profites pour tester un nouveau type de vidéo, sur l'art du speedrun glitch%, ça prends du temps mais tu as pleins d'idées;;Tu renommes la chronique "Art du bug";Obligé de dessiner un rocher dans toutes tes images qui gache un peu tes jolis dessins;;PLOUF_COLERE;BACK_BUREAU
BATTRE_BENJAMIN;;Tu tentes de battre le record de Pseudoless au karaoké sur Yakusa. Soyons honnête: fini le jeu tortue ninja sur nes les yeux fermés serait plus simple.;Tu ne lâches rien;Tu focus pendant 80h d'affilés, mais tu l'as battu sur une chanson. Mais désormais ton cervau "voit" la musique, pratique. Bon le mauvais côté: ton cervau "voit" la musique...;UN-PEU-ENNUYEU;Tu abandonnes vite;Au bout de 15min tu comprends l'erreur que tu as faites. Tu n'apprends rien de neuf, sauf que Pseudo est quand même sacrément balèze aux jeux de rythmes;PSEUDOLESS;PSEUDO;BACK_BIBLIO


#==FAMILLY_NOT_POPULARITY
# A=familly-,popularity+    B=familly+,popularity-
MARCHE_GRIS;;Ton analyse du marché gris a alerté les sites de revente de clés. Tu reçois un email "légal" pas très agréable;Le publier en ligne;Le public te soutiens et adore ton audace. Mais ta juriste à la maison aprécie beaucoup moins la blague par contre et ta passe un savon.;VOUS-ETES-PAS-CAPABLE;Se faire discret;Ta juriste à la maison prends le sujet en main et ils battent en retraite. Mais ton public n'a rien compris et pense que tu as attaqué G2A en premier;;MMEPLOUF;BACK_CUISINE
STRANGE_LIGHTS;;Pendant le test d'Alan Wake 2 les lumières de ton bureau clignotent en rythme avec les jump scare du jeu!;Intégrer à ta vidéo;Sam Lake te cite comme meilleur testeur lumière, mais madame et cherche activement un nouvel appartement vu que celui là semble maudit;;Appeler un électricien;Il te facture 200€ et "debunk" la malédiction qui était juste de ton ancienne Wii U avec Sonic Lost World dedans: il est connu que mélanger Sega et Nintendo fait des étincelles, tu aurais du le savoir avec le temps;;MMEPLOUF;BACK_BUREAU
NEW_FROM_SOFT;CHOOSE_CHRONIQUE_GAME;Tu hésites à tester le nouveau jeu de From Software, mais madame se rapelle que tu étais sacrément grognon la dernière fois;Mais le public le demande;Tu passes 80h dans les mondes horrifiques, et tu es mort plus de 1500 fois, donc oui tu étais sacrément grognon. Mais tu le sais, le vrai "true last boss" est celle qui te lance un regard de mort de l'autre côté de la table;JE-VAIS-PAS-MEN-SORTIR;Ecouter ta fan N°1;Ton public est déjà sous une avalanche de vidéo sur ce Elden Born Ring, tu en profites pour aller voir un jeu du gamepass mais ça attire moins de monde;;MMEPLOUF_DODO;BACK_CUISINE



#==EASY_POPULARITY
# A=popularity+   B=rien
PSEUDO_FIFA;;Tu es plus que surpris: Pseudoless te propose de parler du nouveau Fifa pour le prochain podcast!;Du foot? pourquoi pas;Tu passes un bon moment à rejouer la victoire de la Suisse face à la France en boucle. Ton stream est dans les plus vus en Suisse lors de cette semaine;EXCELLENTE-IDEE;Pseudo, tu vas bien?;Tu envois vite la police chez Pseudoless car tu suspecte qu'il soit retenu contre sa volonté. Et en effet, un fan hardcore de Gotham Knights l'avait enlevé dans une convention DC! Ouf, il est sauvé grâce à ta perspicacité :);;PSEUDO;BACK_BIBLIO

#==ASSUME_BAD_CHOICE
# A=speed+,popularity+    B=speed-,popularity-
PSEUDO_LIKE_FF14;;Pseudoless t'annonce sa vengeance, heu le prochain podcast: FF 14, c'est parti pour 150h de grind!;Couper la poire en deux;Tu proposes FF7 à la place, c'est seulement 40h et plus populaire en plus;MALIN;Aller un cran plus loin;Tu proposes FF 15, c'est tout aussi long, mais ça plait moins, Pseudo ne l'ayant pas fait va aussi souffir;VOUS-ETES-PAS-CAPABLE;PSEUDO;BACK_PODCAST


#==FOR_VISIBILITY
# A=visibility+   B=rien
ASMR_UNBOXING;;Nouveau concept de short Youtube: unboxing ASMR de Switch 2;Go roi des shorts!;Plouf prend son meilleur micro et fait le meilleur short de l'année de Youtube. Un génie!;;Heu pas si sûr;Non Internet n'est pas encore prêt pour un concept aussi révolutionnaire;;PLOUF;BACK_CANAPE
MK_MUSIC;REGISTER_VOICE;Plouf souhaite faire des enregistrements de vieilles musiques de Mario Kart à la bouche pour montrer qu'il les connait par cœur (même si personne n'en doutait ^^);C'est parti!;Tu fais ça du premier coup sans même avoir à les réentendre avant, ton millier d'heures sur MK a porté ses fruits;SONG-MK;heu... j'hésite;Tu n'es pas sûr qu'internet soit prêt pour une telle interprétation de haut vol, dommage pour toi Internet!;;PLOUF_HESITE;BACK_CANAPE

